"id","active","asset_category_id/id","barcode","purchase_ok","rental","sale_ok","route_from_categ_ids/id","color","company_id/id","purchase_method","standard_price","property_cost_method","create_uid/id","create_date","sale_delay","taxes_id/id","deferred_revenue_category_id/id","description","description_picking","property_account_expense_id/id","message_follower_ids/id","weight","hs_code","image","property_account_income_id/id","categ_id/id","default_code","property_stock_inventory/id","property_valuation","invoice_policy","message_last_post","write_uid/id","write_date","location_id/id","packaging_ids/id","image_medium","message_ids/id","name","price","property_account_creditor_price_difference/id","pricelist_id/id","item_ids/id","property_stock_procurement/id","attribute_line_ids/id","product_manager/id","type","property_stock_production/id","product_variant_ids/id","lst_price","description_purchase","uom_po_id/id","route_ids/id","description_sale","list_price","sequence","image_small","state","property_stock_account_input/id","property_stock_account_output/id","track_service","tracking","uom_id/id","seller_ids/id","supplier_taxes_id/id","volume","warehouse_id/id","warranty","cost_method","valuation"
"__export__.product_template_2","True","","","True","False","False","","0","base.main_company","On ordered quantities","0.0","","base.user_root","2016-05-23 03:04:39","7.0","l10n_generic_coa.1_sale_tax_template","","","","","__export__.mail_followers_8","0.0","","","","__export__.product_category_656","","stock.location_inventory","","Ordered quantities","","base.user_root","2016-05-25 12:25:27","","","","__export__.mail_message_13","JNE Regular","0.0","","","","stock.location_procurement","","","service","stock.location_production","__export__.product_product_2","0.0","","product.product_uom_unit","","","0.0","1","","","","","Manually set quantities on order","No Tracking","product.product_uom_unit","","l10n_generic_coa.1_purchase_tax_template","0.0","","0.0","standard","manual_periodic"
"__export__.product_template_1","True","","","False","False","True","","0","base.main_company","On received quantities","0.0","","base.user_root","2016-05-23 02:58:44","7.0","l10n_generic_coa.1_sale_tax_template","","","","","__export__.mail_followers_5","0.0","","","","__export__.product_category_656","","stock.location_inventory","","Ordered quantities","","base.user_root","2016-05-25 12:25:01","","","","__export__.mail_message_9","Pengiriman Gratis","0.0","","","","stock.location_procurement","","","service","stock.location_production","delivery.free_delivery_carrier_product_product","0.0","","product.product_uom_unit","","","0.0","1","","","","","Manually set quantities on order","No Tracking","product.product_uom_unit","","l10n_generic_coa.1_purchase_tax_template","0.0","","0.0","standard","manual_periodic"
"__export__.product_template_3","True","","","True","False","True","","0","base.main_company","On received quantities","800000.0","","base.user_root","2016-05-25 12:26:46","7.0","l10n_generic_coa.1_sale_tax_template","","","","","__export__.mail_followers_114","5.0","","","","__export__.product_category_12","","stock.location_inventory","","Ordered quantities","","base.user_root","2016-05-25 12:26:46","","","","__export__.mail_message_229","Produk Test","0.0","","","","stock.location_procurement","","","product","stock.location_production","__export__.product_product_3","1000000.0","","product.product_uom_unit","purchase.route_warehouse0_buy","","1000000.0","1","","","","","Manually set quantities on order","No Tracking","product.product_uom_unit","","l10n_generic_coa.1_purchase_tax_template","0.0","","0.0","standard","manual_periodic"
